,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
36,2020-02-27,86561.52636007644,-64775.1582532149,242614.47949385582,86561.52636007644,86561.52636007644,148.08121882942257,148.08121882942257,148.08121882942257,148.08121882942257,148.08121882942257,148.08121882942257,0.0,0.0,0.0,86709.60757890587
37,2020-02-28,89042.55129335221,-24403.59154825019,221475.29889952854,89042.55129335221,89042.55129335221,14138.298516647548,14138.298516647548,14138.298516647548,14138.298516647548,14138.298516647548,14138.298516647548,0.0,0.0,0.0,103180.84980999975
38,2020-02-29,91523.576226628,-8597.231855697157,274517.0705099164,91523.576226628,91523.576226628,16296.4293608882,16296.4293608882,16296.4293608882,16296.4293608882,16296.4293608882,16296.4293608882,0.0,0.0,0.0,107820.0055875162
39,2020-03-01,94004.6011599038,-29850.994296283396,223435.30214110666,94004.6011599038,94004.6011599038,2080.222821004856,2080.222821004856,2080.222821004856,2080.222821004856,2080.222821004856,2080.222821004856,0.0,0.0,0.0,96084.82398090867
40,2020-03-02,96495.56341460801,-34118.1967663956,217789.99958389736,96495.56341460801,96495.56341460801,-10999.425019510405,-10999.425019510405,-10999.425019510405,-10999.425019510405,-10999.425019510405,-10999.425019510405,0.0,0.0,0.0,85496.1383950976
41,2020-03-03,98986.52566931225,-31030.472473578244,222670.00257102074,98986.52566931225,98986.52566931225,-14657.39855510374,-14657.39855510374,-14657.39855510374,-14657.39855510374,-14657.39855510374,-14657.39855510374,0.0,0.0,0.0,84329.1271142085
42,2020-03-04,101477.48792401646,-35107.24773647968,222050.65665044094,101477.48792401646,101477.48792401646,-7006.208342775204,-7006.208342775204,-7006.208342775204,-7006.208342775204,-7006.208342775204,-7006.208342775204,0.0,0.0,0.0,94471.27958124125
43,2020-03-05,103968.45017872068,-38585.26055207638,231081.22149521412,103968.45017872067,103968.45017872068,148.0812188439659,148.0812188439659,148.0812188439659,148.0812188439659,148.0812188439659,148.0812188439659,0.0,0.0,0.0,104116.53139756464
44,2020-03-06,106459.41243342489,2204.069715555664,241685.23483522912,106459.41243342489,106459.41243342489,14138.298516660849,14138.298516660849,14138.298516660849,14138.298516660849,14138.298516660849,14138.298516660849,0.0,0.0,0.0,120597.71095008575
45,2020-03-07,108950.37468812913,-13768.631415777716,254709.80406584794,108950.37468812912,108950.37468812913,16296.429360893533,16296.429360893533,16296.429360893533,16296.429360893533,16296.429360893533,16296.429360893533,0.0,0.0,0.0,125246.80404902267
46,2020-03-08,111441.33694283334,-24160.067446613823,244576.8676440933,111441.33694283332,111441.33694283334,2080.22282099766,2080.22282099766,2080.22282099766,2080.22282099766,2080.22282099766,2080.22282099766,0.0,0.0,0.0,113521.559763831
47,2020-03-09,113932.2991975375,-27934.353018186015,245954.14414242018,113932.2991975375,113932.2991975375,-10999.42501948156,-10999.42501948156,-10999.42501948156,-10999.42501948156,-10999.42501948156,-10999.42501948156,0.0,0.0,0.0,102932.87417805595
48,2020-03-10,122551.40090666954,-43625.01735245345,229246.88616041938,122551.40090666953,122551.40090666954,-14657.398555101798,-14657.398555101798,-14657.398555101798,-14657.398555101798,-14657.398555101798,-14657.398555101798,0.0,0.0,0.0,107894.00235156775
49,2020-03-11,131170.50261580164,-29630.880525063007,263008.0827508475,131170.50261580164,131170.50261580164,-7006.208342770393,-7006.208342770393,-7006.208342770393,-7006.208342770393,-7006.208342770393,-7006.208342770393,0.0,0.0,0.0,124164.29427303125
50,2020-03-12,139789.60432493367,2985.811539074047,264610.6369852528,139789.60432493367,139789.60432493367,148.081218849052,148.081218849052,148.081218849052,148.081218849052,148.081218849052,148.081218849052,0.0,0.0,0.0,139937.68554378272
51,2020-03-13,148408.70603406572,38821.908823418846,294743.7000754939,148408.70603406572,148408.70603406572,14138.298516659725,14138.298516659725,14138.298516659725,14138.298516659725,14138.298516659725,14138.298516659725,0.0,0.0,0.0,162547.00455072545
