,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
46,2020-03-08,56994.45637769705,30267.025522748198,89319.05286794223,56994.456377697046,56994.45637769705,1285.1326329941824,1285.1326329941824,1285.1326329941824,1285.1326329941824,1285.1326329941824,1285.1326329941824,0.0,0.0,0.0,58279.589010691234
47,2020-03-09,59416.84577015126,27736.472661210562,84317.46734051057,59416.84577015125,59416.84577015126,-2834.6943742749027,-2834.6943742749027,-2834.6943742749027,-2834.6943742749027,-2834.6943742749027,-2834.6943742749027,0.0,0.0,0.0,56582.15139587635
48,2020-03-10,61839.23516260549,31251.733106197284,88001.87630908366,61839.23516260549,61839.23516260549,-2694.797444854958,-2694.797444854958,-2694.797444854958,-2694.797444854958,-2694.797444854958,-2694.797444854958,0.0,0.0,0.0,59144.43771775053
49,2020-03-11,64261.62455505971,33951.60868421987,92173.30663765638,64261.62455505971,64261.62455505971,-1162.134835433016,-1162.134835433016,-1162.134835433016,-1162.134835433016,-1162.134835433016,-1162.134835433016,0.0,0.0,0.0,63099.48971962669
50,2020-03-12,66684.01702931781,43242.73813006787,97131.25272331049,66684.01702931781,66684.01702931781,1119.732142362572,1119.732142362572,1119.732142362572,1119.732142362572,1119.732142362572,1119.732142362572,0.0,0.0,0.0,67803.74917168038
51,2020-03-13,69106.40950357592,45477.74037292987,94719.04389638986,69106.40950357592,69106.40950357592,2144.4135739135513,2144.4135739135513,2144.4135739135513,2144.4135739135513,2144.4135739135513,2144.4135739135513,0.0,0.0,0.0,71250.82307748948
52,2020-03-14,71528.80197783404,47158.160704967384,99104.76401329282,71528.80197783404,71528.80197783404,2142.348305304377,2142.348305304377,2142.348305304377,2142.348305304377,2142.348305304377,2142.348305304377,0.0,0.0,0.0,73671.15028313841
53,2020-03-15,73951.19908072587,51055.72836456094,102722.43112975702,73951.19908072587,73951.19908072587,1285.1326329922895,1285.1326329922895,1285.1326329922895,1285.1326329922895,1285.1326329922895,1285.1326329922895,0.0,0.0,0.0,75236.33171371816
54,2020-03-16,76373.59618361767,41429.96108856374,101279.44921385616,76373.59618361767,76373.59618361767,-2834.6943742767353,-2834.6943742767353,-2834.6943742767353,-2834.6943742767353,-2834.6943742767353,-2834.6943742767353,0.0,0.0,0.0,73538.90180934094
55,2020-03-17,78795.99328650949,49343.29889559314,104947.27116551218,78795.99328650949,78795.99328650949,-2694.797444852723,-2694.797444852723,-2694.797444852723,-2694.797444852723,-2694.797444852723,-2694.797444852723,0.0,0.0,0.0,76101.19584165676
56,2020-03-18,81218.39545622465,53487.2929126539,107808.26975667682,81218.39545622465,81218.39545622465,-1162.1348354304678,-1162.1348354304678,-1162.1348354304678,-1162.1348354304678,-1162.1348354304678,-1162.1348354304678,0.0,0.0,0.0,80056.26062079419
57,2020-03-19,83640.79762593977,55306.5055946473,110799.63507534798,83640.79762593977,83640.79762593977,1119.7321423661765,1119.7321423661765,1119.7321423661765,1119.7321423661765,1119.7321423661765,1119.7321423661765,0.0,0.0,0.0,84760.52976830595
58,2020-03-20,86063.19979565493,58236.60672023067,112524.74351411572,86063.19979565492,86063.19979565493,2144.4135739082394,2144.4135739082394,2144.4135739082394,2144.4135739082394,2144.4135739082394,2144.4135739082394,0.0,0.0,0.0,88207.61336956317
59,2020-03-21,90407.62514996731,58676.91655348956,121313.22980174064,90407.6251499673,90407.62514996731,2142.348305303602,2142.348305303602,2142.348305303602,2142.348305303602,2142.348305303602,2142.348305303602,0.0,0.0,0.0,92549.97345527091
60,2020-03-22,94752.05050427964,69143.57499400165,123032.03231502739,94752.05050427964,94752.05050427964,1285.1326329903961,1285.1326329903961,1285.1326329903961,1285.1326329903961,1285.1326329903961,1285.1326329903961,0.0,0.0,0.0,96037.18313727004
61,2020-03-23,99096.47585859199,70862.17524083803,122161.48982245446,99096.47585859199,99096.47585859199,-2834.6943742788644,-2834.6943742788644,-2834.6943742788644,-2834.6943742788644,-2834.6943742788644,-2834.6943742788644,0.0,0.0,0.0,96261.78148431313
62,2020-03-24,103440.90121290441,74217.85505189543,126704.94207365203,103440.9012129044,103440.90121290441,-2694.7974448540513,-2694.7974448540513,-2694.7974448540513,-2694.7974448540513,-2694.7974448540513,-2694.7974448540513,0.0,0.0,0.0,100746.10376805037
63,2020-03-25,110957.93543259731,83846.60516269735,140309.03028418834,110957.9354325973,110957.93543259731,-1162.1348354412132,-1162.1348354412132,-1162.1348354412132,-1162.1348354412132,-1162.1348354412132,-1162.1348354412132,0.0,0.0,0.0,109795.80059715609
64,2020-03-26,118474.96965229016,92211.68976234854,144111.71387181402,118474.96965229016,118474.96965229016,1119.7321423628402,1119.7321423628402,1119.7321423628402,1119.7321423628402,1119.7321423628402,1119.7321423628402,0.0,0.0,0.0,119594.70179465301
65,2020-03-27,125992.003871983,100328.10035522407,150936.2099189695,125992.003871983,125992.003871983,2144.413573909606,2144.413573909606,2144.413573909606,2144.413573909606,2144.413573909606,2144.413573909606,0.0,0.0,0.0,128136.41744589261
66,2020-03-28,137538.9658007108,116250.02122885667,165463.4258359041,137538.96580071078,137538.9658007108,2142.3483053028267,2142.3483053028267,2142.3483053028267,2142.3483053028267,2142.3483053028267,2142.3483053028267,0.0,0.0,0.0,139681.31410601363
67,2020-03-29,149085.92772943847,124626.35749183077,178422.90693638904,149085.92772943847,149085.92772943847,1285.1326329885032,1285.1326329885032,1285.1326329885032,1285.1326329885032,1285.1326329885032,1285.1326329885032,0.0,0.0,0.0,150371.06036242697
68,2020-03-30,160632.88965816612,133135.39068273501,183229.85576359907,160632.8896581661,160632.88965816612,-2834.6943742804015,-2834.6943742804015,-2834.6943742804015,-2834.6943742804015,-2834.6943742804015,-2834.6943742804015,0.0,0.0,0.0,157798.19528388573
69,2020-03-31,175568.63991767625,146191.8277691379,197355.60007498856,175568.63991767622,175568.63991767625,-2694.7974448565446,-2694.7974448565446,-2694.7974448565446,-2694.7974448565446,-2694.7974448565446,-2694.7974448565446,0.0,0.0,0.0,172873.8424728197
70,2020-04-01,190504.3901771861,158197.88802306767,215377.6137610887,190504.3901771861,190504.3901771861,-1162.134835438666,-1162.134835438666,-1162.134835438666,-1162.134835438666,-1162.134835438666,-1162.134835438666,0.0,0.0,0.0,189342.25534174746
71,2020-04-02,205440.14043669598,182878.70180140182,236618.44225933592,205440.14043669595,205440.14043669598,1119.7321423664446,1119.7321423664446,1119.7321423664446,1119.7321423664446,1119.7321423664446,1119.7321423664446,0.0,0.0,0.0,206559.87257906242
72,2020-04-03,223103.09308976508,196979.28221821657,251015.54695439566,223103.09308976505,223103.09308976508,2144.4135739076332,2144.4135739076332,2144.4135739076332,2144.4135739076332,2144.4135739076332,2144.4135739076332,0.0,0.0,0.0,225247.5066636727
73,2020-04-04,240766.04574283396,217113.14182162547,270087.89815878635,240766.04574283393,240766.04574283396,2142.348305303131,2142.348305303131,2142.348305303131,2142.348305303131,2142.348305303131,2142.348305303131,0.0,0.0,0.0,242908.3940481371
